run aouts_lambda aktt_lambda effect observed mean sd t_ratio
38 3.5 4.0 AltOutStars.3.5. 2675.38 2966.789 517.568 0.5630354 
38 3.5 4.0 AltTwoPathsT.4. 383.75 769.7742 702.5331 0.5494748 
38 3.5 4.0 Arc 1079 1162.83 150.2493 0.5579394 
39 3.5 4.5 AltInStars.2. 634.698 629.8635 49.78264 -0.09711297 
39 3.5 4.5 AltKTrianglesT.4.5. 71.8889 56.84087 19.30443 -0.7795115 
39 3.5 4.5 AltOutStars.3.5. 2675.38 2671.096 134.5798 -0.0318339 
39 3.5 4.5 AltTwoPathsT.4.5. 384 353.3036 66.19151 -0.463751 
39 3.5 4.5 Arc 1079 1075.46 41.41156 -0.08548337 
40 3.5 5.0 AltInStars.2. 634.698 1026.054 664.3721 0.5890614 
40 3.5 5.0 AltKTrianglesT.5. 72 1000.955 1688.198 0.5502644 
40 3.5 5.0 AltOutStars.3.5. 2675.38 3417.98 1208.931 0.6142618 
40 3.5 5.0 AltTwoPathsT.5. 384.2 1677.893 2257.346 0.5731035 
40 3.5 5.0 Arc 1079 1292.13 350.9189 0.6073483 
41 4.0 1.5 AltInStars.2. 634.698 648.2567 51.69551 0.2622804 
41 4.0 1.5 AltKTrianglesT.1.5. 69.6667 70.99 20.54431 0.06441184 
41 4.0 1.5 AltOutStars.4. 2951.16 2994.427 157.352 0.2749702 
41 4.0 1.5 AltTwoPathsT.1.5. 380 382.0499 57.14025 0.03587559 
41 4.0 1.5 Arc 1079 1089.52 43.95119 0.2393565 
42 4.0 2.0 AltInStars.2. 634.698 663.5093 53.38698 0.5396694 
42 4.0 2.0 AltKTrianglesT.2. 70.5 104.1175 26.99386 1.245376 
42 4.0 2.0 AltOutStars.4. 2951.16 3039.023 160.9825 0.5457921 
42 4.0 2.0 AltTwoPathsT.2. 381.5 451.5725 74.43379 0.9414071 
42 4.0 2.0 Arc 1079 1101.65 45.43846 0.4984764 
43 4.0 2.5 AltInStars.2. 634.698 650.7411 51.26879 0.3129208 
43 4.0 2.5 AltKTrianglesT.2.5. 71 82.6484 17.43223 0.6682104 
43 4.0 2.5 AltOutStars.4. 2951.16 3009.483 149.1303 0.3910902 
43 4.0 2.5 AltTwoPathsT.2.5. 382.4 391.122 55.33365 0.1576256 
43 4.0 2.5 Arc 1079 1090.92 41.76502 0.2854063 
44 4.0 3.0 AltInStars.2. 634.698 620.1184 55.50926 -0.2626511 
44 4.0 3.0 AltKTrianglesT.3. 71.3333 45.55333 13.87472 -1.858053 
44 4.0 3.0 AltOutStars.4. 2951.16 2907.456 172.5687 -0.2532586 
44 4.0 3.0 AltTwoPathsT.3. 383 330.1278 51.6823 -1.023024 
44 4.0 3.0 Arc 1079 1067.5 47.59626 -0.2416156 
45 4.0 3.5 AltInStars.2. 634.698 626.7026 46.04322 -0.1736499 
45 4.0 3.5 AltKTrianglesT.3.5. 71.5714 49.89756 12.67645 -1.709772 
45 4.0 3.5 AltOutStars.4. 2951.16 2920.86 132.4471 -0.2287707 
45 4.0 3.5 AltTwoPathsT.3.5. 383.429 337.329 52.59162 -0.8765662 
45 4.0 3.5 Arc 1079 1072.13 38.7678 -0.1772089 
46 4.0 4.0 AltInStars.2. 634.698 636.2606 52.83689 0.02957347 
46 4.0 4.0 AltKTrianglesT.4. 71.75 63.2725 25.61215 -0.3309952 
46 4.0 4.0 AltOutStars.4. 2951.16 2966.731 164.462 0.09467595 
46 4.0 4.0 AltTwoPathsT.4. 383.75 363.0025 72.67314 -0.2854906 
46 4.0 4.0 Arc 1079 1082.09 44.98217 0.06869388 
47 4.0 4.5 AltInStars.2. 634.698 640.7823 47.15687 0.1290223 
47 4.0 4.5 AltKTrianglesT.4.5. 71.8889 63.5735 26.8769 -0.3093882 
47 4.0 4.5 AltOutStars.4. 2951.16 2969.483 138.9503 0.1318709 
47 4.0 4.5 AltTwoPathsT.4.5. 384 363.5541 73.30057 -0.2789326 
47 4.0 4.5 Arc 1079 1083.66 39.35419 0.1184118 
48 4.0 5.0 AltInStars.2. 634.698 633.9386 51.97846 -0.01461009 
48 4.0 5.0 AltKTrianglesT.5. 72 56.4084 15.41899 -1.011194 
48 4.0 5.0 AltOutStars.4. 2951.16 2942.282 152.7012 -0.05814167 
48 4.0 5.0 AltTwoPathsT.5. 384.2 351.9944 61.65105 -0.5223853 
48 4.0 5.0 Arc 1079 1076.91 44.00484 -0.04749477 
49 4.5 1.5 AltInStars.2. 634.698 653.7975 49.60739 0.385014 
49 4.5 1.5 AltKTrianglesT.1.5. 69.6667 76.17333 29.24975 0.2224507 
49 4.5 1.5 AltOutStars.4.5. 3210.02 3274.917 176.0207 0.3686889 
49 4.5 1.5 AltTwoPathsT.1.5. 380 396.89 70.91857 0.2381605 
49 4.5 1.5 Arc 1079 1094.09 43.49274 0.3469545 
50 4.5 2.0 AltInStars.2. 634.698 650.8955 50.40734 0.3213318 
50 4.5 2.0 AltKTrianglesT.2. 70.5 81.105 19.17398 0.5530932 
50 4.5 2.0 AltOutStars.4.5. 3210.02 3260.3 168.949 0.2976064 
50 4.5 2.0 AltTwoPathsT.2. 381.5 408.495 55.86382 0.4832287 
50 4.5 2.0 Arc 1079 1091.47 43.97921 0.2835431 
51 4.5 2.5 AltInStars.2. 634.698 649.202 61.81661 0.2346295 
51 4.5 2.5 AltKTrianglesT.2.5. 71 79.9372 31.01562 0.2881516 
51 4.5 2.5 AltOutStars.4.5. 3210.02 3272.088 209.7561 0.2959074 
51 4.5 2.5 AltTwoPathsT.2.5. 382.4 393.0032 82.54363 0.1284557 
51 4.5 2.5 Arc 1079 1090.06 52.00249 0.2126821 
52 4.5 3.0 AltInStars.2. 634.698 632.7593 47.70545 -0.04063854 
52 4.5 3.0 AltKTrianglesT.3. 71.3333 49.38334 14.92799 -1.47039 
52 4.5 3.0 AltOutStars.4.5. 3210.02 3194.395 160.0256 -0.09764002 
52 4.5 3.0 AltTwoPathsT.3. 383 333.0389 54.85821 -0.9107316 
52 4.5 3.0 Arc 1079 1077.21 42.29342 -0.04232337 
53 4.5 3.5 AltInStars.2. 634.698 620.5199 46.36557 -0.3057889 
53 4.5 3.5 AltKTrianglesT.3.5. 71.5714 46.88593 14.4751 -1.705375 
53 4.5 3.5 AltOutStars.4.5. 3210.02 3154.658 162.0098 -0.3417183 
53 4.5 3.5 AltTwoPathsT.3.5. 383.429 322.9459 52.18494 -1.159014 
53 4.5 3.5 Arc 1079 1065.27 40.35821 -0.3402034 
54 4.5 4.0 AltInStars.2. 634.698 628.715 47.89391 -0.1249226 
54 4.5 4.0 AltKTrianglesT.4. 71.75 43.27562 12.11291 -2.350746 
54 4.5 4.0 AltOutStars.4.5. 3210.02 3175.909 169.6238 -0.2010957 
54 4.5 4.0 AltTwoPathsT.4. 383.75 323.2037 51.25448 -1.181287 
54 4.5 4.0 Arc 1079 1073.42 41.80575 -0.1334745 
55 4.5 4.5 AltInStars.2. 634.698 634.0553 54.84538 -0.01171931 
55 4.5 4.5 AltKTrianglesT.4.5. 71.8889 52.34989 16.92763 -1.154267 
55 4.5 4.5 AltOutStars.4.5. 3210.02 3184.407 180.6561 -0.1417804 
55 4.5 4.5 AltTwoPathsT.4.5. 384 346.5433 56.95814 -0.6576182 
55 4.5 4.5 Arc 1079 1077.81 45.50939 -0.02614845 
56 4.5 5.0 AltInStars.2. 634.698 829.7837 384.0478 0.5079725 
56 4.5 5.0 AltKTrianglesT.5. 72 425.0249 804.6804 0.4387144 
56 4.5 5.0 AltOutStars.4.5. 3210.02 3739.764 904.3602 0.5857666 
56 4.5 5.0 AltTwoPathsT.5. 384.2 1002.918 1353.488 0.4571286 
56 4.5 5.0 Arc 1079 1199.6 209.2847 0.5762486 
57 5.0 1.5 AltInStars.2. 634.698 655.9457 54.59053 0.3892205 
57 5.0 1.5 AltKTrianglesT.1.5. 69.6667 77.91111 27.62154 0.2984776 
57 5.0 1.5 AltOutStars.5. 3453.73 3541.608 200.7696 0.4377058 
57 5.0 1.5 AltTwoPathsT.1.5. 380 396.4222 72.05843 0.2279012 
57 5.0 1.5 Arc 1079 1096.96 45.78538 0.3922649 
58 5.0 2.0 AltInStars.2. 634.698 652.92 50.73112 0.3591872 
58 5.0 2.0 AltKTrianglesT.2. 70.5 84.9025 26.94692 0.5344768 
58 5.0 2.0 AltOutStars.5. 3453.73 3508.346 192.2914 0.2840283 
58 5.0 2.0 AltTwoPathsT.2. 381.5 412.17 70.43443 0.4354405 
58 5.0 2.0 Arc 1079 1092.86 42.39188 0.3269494 
59 5.0 2.5 AltInStars.2. 634.698 645.48 47.79873 0.2255706 
59 5.0 2.5 AltKTrianglesT.2.5. 71 76.6108 22.25283 0.2521387 
59 5.0 2.5 AltOutStars.5. 3453.73 3509.084 176.687 0.3132868 
59 5.0 2.5 AltTwoPathsT.2.5. 382.4 390.234 57.69654 0.1357794 
59 5.0 2.5 Arc 1079 1088.43 41.77024 0.2257588 
60 5.0 3.0 AltInStars.2. 634.698 636.1736 51.33246 0.02874594 
60 5.0 3.0 AltKTrianglesT.3. 71.3333 66.80667 17.4255 -0.2597702 
60 5.0 3.0 AltOutStars.5. 3453.73 3459.864 191.8637 0.03197166 
60 5.0 3.0 AltTwoPathsT.3. 383 374.2155 56.48744 -0.1555117 
60 5.0 3.0 Arc 1079 1079.88 43.40816 0.02027269 
61 5.0 3.5 AltInStars.2. 634.698 627.2724 53.40197 -0.1390507 
61 5.0 3.5 AltKTrianglesT.3.5. 71.5714 65.46204 12.07324 -0.5060244 
61 5.0 3.5 AltOutStars.5. 3453.73 3409.29 190.1075 -0.2337619 
61 5.0 3.5 AltTwoPathsT.3.5. 383.429 369.1865 48.64686 -0.2927726 
61 5.0 3.5 Arc 1079 1070.15 46.81694 -0.1890341 
62 5.0 4.0 AltInStars.2. 634.698 636.1016 52.45201 0.02675951 
62 5.0 4.0 AltKTrianglesT.4. 71.75 54.43812 17.19233 -1.006953 
62 5.0 4.0 AltOutStars.5. 3453.73 3463.198 190.0894 0.04980605 
62 5.0 4.0 AltTwoPathsT.4. 383.75 347.5481 56.25202 -0.6435661 
62 5.0 4.0 Arc 1079 1081.76 43.75162 0.06308338 
63 5.0 4.5 AltInStars.2. 634.698 1439.882 1269.242 0.6343818 
63 5.0 4.5 AltKTrianglesT.4.5. 71.8889 1887.027 3112.84 0.5831131 
63 5.0 4.5 AltOutStars.5. 3453.73 5621.504 3289.054 0.6590873 
63 5.0 4.5 AltTwoPathsT.4.5. 384 2797.099 3807.538 0.6337689 
63 5.0 4.5 Arc 1079 1517.43 664.049 0.6602375 
64 5.0 5.0 AltInStars.2. 634.698 634.4792 43.66565 -0.005010804 
64 5.0 5.0 AltKTrianglesT.5. 72 61.74712 16.77573 -0.6111734 
64 5.0 5.0 AltOutStars.5. 3453.73 3450.641 148.2644 -0.02083305 
64 5.0 5.0 AltTwoPathsT.5. 384.2 356.3255 46.03896 -0.6054541 
64 5.0 5.0 Arc 1079 1078.81 36.08735 -0.005265003 
